# Matter power spectrum P(k) at redshift z=0
# for k=1.04182e-05 to 5.31614 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.961411602344e-02       5.624859825675e+03 
       1.028108068576e-01       5.341027677047e+03 
       1.060123295019e-01       5.107083980420e+03 
       1.092168054135e-01       4.917223475284e+03 
       1.124230843167e-01       4.763508275835e+03 
       1.156304642154e-01       4.636286686896e+03 
       1.188385174861e-01       4.525716019907e+03 
       1.220469838668e-01       4.422134633395e+03 
       1.252557049768e-01       4.317439561430e+03 
       1.284645843861e-01       4.204823555878e+03 
       1.316735633140e-01       4.080500975564e+03 
       1.348826058569e-01       3.943069621812e+03 
       1.380916900154e-01       3.793018376344e+03 
       1.413008022449e-01       3.634001508677e+03 
       1.445099341469e-01       3.469635245921e+03 
       1.477190804604e-01       3.305563531311e+03 
       1.509282378408e-01       3.146430994112e+03 
       1.541374041185e-01       2.996775964503e+03 
       1.573465778477e-01       2.860033172113e+03 
       1.605557580318e-01       2.738442813335e+03 
       1.637649439554e-01       2.632888876330e+03 
       1.669741350826e-01       2.543045078899e+03 
       1.701833309932e-01       2.467629722515e+03 
       1.733925313442e-01       2.404481809473e+03 
       1.766017358461e-01       2.350772150552e+03 
       1.798109442467e-01       2.303561573295e+03 
       1.830201563226e-01       2.259956766301e+03 
       1.862293718716e-01       2.217459011095e+03 
       1.894385907098e-01       2.173437439154e+03 
       1.926478126674e-01       2.125891168503e+03 
       1.958570375877e-01       2.073935331303e+03 
       1.990662653248e-01       2.017435331102e+03 
       2.022754957428e-01       1.956989408014e+03 
       2.054847287145e-01       1.893744026958e+03 
       2.086939641209e-01       1.829365044062e+03 
       2.119032018503e-01       1.765450282817e+03 
       2.151124417980e-01       1.703474830992e+03 
       2.183216838653e-01       1.644735220892e+03 
       2.215309279594e-01       1.590168130620e+03 
       2.247401739928e-01       1.540502704642e+03 
       2.279494218831e-01       1.495819193695e+03 
       2.311586715523e-01       1.456281182047e+03 
       2.343679229269e-01       1.421404482515e+03 
       2.375771759372e-01       1.390653533372e+03 
       2.407864305175e-01       1.363181691904e+03 
       2.439956866054e-01       1.337998245631e+03 
       2.472049441418e-01       1.314102390956e+03 
       2.504142030707e-01       1.290677650060e+03 
       2.536234633388e-01       1.266958588364e+03 
       2.568327248957e-01       1.242422172709e+03 
       2.600419876934e-01       1.216830959424e+03 
       2.632512516861e-01       1.190056094465e+03 
       2.664605168305e-01       1.162218823634e+03 
       2.696697830851e-01       1.133580747790e+03 
       2.728790504107e-01       1.104531766147e+03 
       2.760883187696e-01       1.075572941936e+03 
       2.792975881260e-01       1.047194362744e+03 
       2.825068584457e-01       1.019860494551e+03 
       2.857161296961e-01       9.939930811294e+02 
       2.889254018460e-01       9.697738280608e+02 
       2.921346748656e-01       9.473764064765e+02 
       2.953439487264e-01       9.267930716952e+02 
       2.985532234011e-01       9.078992017487e+02 
       3.017624988636e-01       8.904527509148e+02 
       3.049717750889e-01       8.742128272968e+02 
       3.081810520530e-01       8.589376616892e+02 
       3.113903297330e-01       8.442879965298e+02 
       3.145996081070e-01       8.300128644633e+02 
       3.178088871536e-01       8.158532582159e+02 
       3.210181668528e-01       8.016521303906e+02 
       3.242274471849e-01       7.872846183781e+02 
       3.274367281313e-01       7.726266887392e+02 
       3.306460096741e-01       7.577152831751e+02 
       3.338552917959e-01       7.427139919673e+02 
